seg_id,mean_ssa_1991_2021,river_name,tier,updated_tier,long_term_mean
3893,-0.2539796605500715,Gagas,5,5,8.570340206314555
4569,-0.25385969952487986,Ganga,1,1,5238.941987910797
4258,-0.25324149629308074,Ken,2,2,10.118433937605635
4163,-0.25206503345406106,Jamni,4,4,12.126727285751173
4030,-0.25054651119984367,Ghaghara,1,1,36.276223938380284
3922,-0.2503795210214584,Malin,5,5,9.759543986854458
3490,-0.24931254992331833,Banganga,4,4,1.6512019290023474
3355,-0.24904617040600982,Sesar,5,5,1.7123028148474178
3945,-0.24903748731588693,Tamasa,3,3,7.925288352030516
4161,-0.24888008262519215,Jamni,4,4,55.532102210328645
4134,-0.24715852596197604,Lakheri,5,5,10.794413422969484
4456,-0.24680882325508627,Rapti,2,2,171.62406891197182
3801,-0.24626382858101695,Ganga,1,1,994.8738986267606
3453,-0.24557726718731815,Parbati,3,3,18.488643460798123
4567,-0.245067721185665,Ganga,1,1,5122.37294387324
4729,-0.2450588864795041,Karmanasa,3,3,5.017293100093897
3515,-0.24487107380986778,Khari,3,3,25.431598767605635
4568,-0.24482076197913363,Ganga,1,1,5137.718314612675
3351,-0.24404280008483178,Bamni,5,5,1.6063562642840374
3961,-0.24324901876264507,Ganga,1,1,5027.640909847418
3558,-0.24317785489114765,Kali,3,3,3.1758127157746476
3959,-0.24295157571366946,Ganga,1,1,5024.77615350939
3378,-0.24218833619453092,Gambhir,4,4,15.788565976760564
3373,-0.2419840313248813,Gambhir,4,4,11.673410516901408
3938,-0.24163956359849556,Ganga,1,1,5014.291158779342
4578,-0.2404013243522639,Ganga,1,1,3.4454900960446007
3937,-0.24017822237523276,Ganga,1,1,4995.449173122066
4432,-0.23979231629699713,Ghaghara,1,1,6.607043070692488
3934,-0.23967170899810616,Ganga,1,1,4990.507281115024
4436,-0.23931333174172348,Ghaghara,1,1,4.041141517241784
4766,-0.23833993297690215,Manorama,4,4,4.3134021761384975
3794,-0.23750823660362952,Deoha,4,4,78.47645806760563
3995,-0.23747970539704583,Ganga,1,1,3.141702558908451
5083,-0.23728492525062092,Hooghly,1,1,8.087874045539907
3387,-0.23572165847361382,Sindh,3,3,154.6217852652582
4017,-0.23474911485001082,Gomti,2,2,62.23408108521127
3534,-0.23468000438588302,Hindon,3,3,55.97218607535211
5140,-0.23405145322557194,Harohar,3,3,184.97823055046948
4131,-0.23397750350767818,Dhasan,3,3,18.961716659741782
5161,-0.2336793371021734,Harohar,3,3,164.54987813028168
4727,-0.2331143434112805,Karmanasa,3,3,36.7706245185446
4820,-0.23204538572272812,Bakra,5,5,23.663452589788733
3460,-0.23150745522741067,Mahuar,4,4,16.96638480399061
5160,-0.23084352652890464,Harohar,3,3,134.13102529460096
4955,-0.23061867060409358,Iwa,5,5,11.803079563497652
3285,-0.2303370182313054,Tons,2,2,20.001716998239438
3494,-0.229331064512127,Khari,3,3,37.73336680328639
3967,-0.22892156051055984,Karmanasa,3,3,12.674562082746478
4154,-0.22883325025121073,Dhasan,3,3,3.532660628591549
4111,-0.22735010405763478,Parwar,5,5,3.2268420561737092
3479,-0.2271859548343489,Khari,3,3,66.28577077112676
3312,-0.22571590908711964,Tons,2,2,34.265965703521125
4726,-0.2240463769890847,Karmanasa,3,3,28.603350043075118
3504,-0.22381133008791168,Khari,3,3,33.864836388615025
3514,-0.22345468207127978,Khari,3,3,30.640002617723002
4540,-0.22332623871543536,Punpun,3,3,4.601427743884977
3846,-0.2231076243519329,Deoha,4,4,60.84225650457746
4863,-0.22303794939994503,Ganga,1,1,11288.112461971832
3921,-0.2229861611385454,Banganga,4,4,6.839033371913146
4571,-0.22258707483606474,Gandak,2,2,7.561803321772301
4834,-0.22248182535642627,Ganga,1,1,11304.784295774649
