dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Nandanwara Dam,25.0769,78.7583,Madhya Pradesh,Bargi Nadi,26.795,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4169.0,Jamni,tier3_nearest,3.44
Tehraka Dam,25.2881,78.9067,Madhya Pradesh,Naina Nadi,5.35,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",3457.0,Betwa,tier3_nearest,15.12
Nagda Nalla Dam,23.645,78.845,Madhya Pradesh,Nagda Nalla,1.845,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4124.0,Dehar,tier3_nearest,5.92
Bhitrigarh Dam,23.6247,80.4164,Madhya Pradesh,Niwar,5.25,1965.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,22.2
Ratapani Dam,22.95,77.6992,Madhya Pradesh,Godmedi,15.146,1965.0,"NRLD_2019 (score=0.60, method=first_word_match)",4190.0,Betwa,tier3_nearest,14.07
Loni Dam,25.1381,81.5667,Madhya Pradesh,Loni,4.75,1965.0,"NRLD_2019 (score=0.60, method=first_word_match)",4085.0,Sokar,tier3_nearest,12.75
Geolari Dam,24.2781,79.2356,Madhya Pradesh,Kalidoha Nadi,1.529,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",4150.0,Kathan,tier3_nearest,15.2
Sidhi Dam,24.36,81.8892,Madhya Pradesh,Hirun,6.863,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",4057.0,Son,tier3_nearest,11.12
Piploda Dam,25.7933,77.5014,Madhya Pradesh,Piprada Nalla,4.758,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",3453.0,Parbati,tier3_nearest,5.56
Sendpa Dam,24.6089,79.3347,Madhya Pradesh,Gurda Nala,7.95,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",4152.0,Kathan,tier3_nearest,6.2
Datla Dam,23.7486,80.5689,Madhya Pradesh,Local,7.55,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",4369.0,Katni,tier3_nearest,13.01
Semrakudri Dam,23.9719,80.18,Madhya Pradesh,Laipri Nala,1.61,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,9.21
Madan Sagar Dam,25.7408,78.9986,Madhya Pradesh,Kulwara Nala,12.85,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",3464.0,Betwa,tier3_nearest,4.66
Kulwa Dam,23.915,79.8197,Madhya Pradesh,Local,0.62,1967.0,"NRLD_2019 (score=0.60, method=first_word_match)",4291.0,Bearma,tier3_nearest,3.57
Chhapari Dam,23.7003,79.9492,Madhya Pradesh,Mod Nadi,1.4,1967.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,16.2
Dumduma Dam,25.2456,78.7711,Madhya Pradesh,Local,4.16,1967.0,"NRLD_2019 (score=0.60, method=first_word_match)",3462.0,Betwa,tier3_nearest,14.58
Makhani Dam,23.3911,77.7419,Madhya Pradesh,Local,1.0,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4194.0,Betwa,tier1_existing,2.045397
Jawari Dam,24.0725,77.6728,Madhya Pradesh,Jawari,1.16,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4178.0,Kethan,tier3_nearest,15.65
