seg_id,early_dry_mean,late_dry_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean,dry_mk_trend,dry_mk_p_value,dry_sens_slope_pct_yr
3637,0.9185525828125,0.9534221297580645,0.034869546945564545,3.7961405365382674,Somli,5,5,3.62882921294601,no trend,0.9920793227943283,0.0030278039514557878
5178,113.88391889375,118.26711329838709,4.383194404637081,3.848826460500063,Gandak,2,2,649.0847378931925,no trend,0.17698155778028202,0.17899089614378025
3607,58.518799449999996,60.78878504032258,2.269985590322584,3.8790706775557133,Chambal,2,2,233.08368164671361,no trend,0.9051746472382802,0.016115809299331672
3634,44.51822980625,46.24719059677419,1.7289607905241908,3.883714150470239,Chambal,2,2,179.36027722769953,no trend,0.9288074636400747,0.02081418806576743
3608,60.948739562499995,63.32508895967742,2.376349397177428,3.898931157945598,Chambal,2,2,242.87527049530516,no trend,0.873797961750338,0.02544655005338775
3618,72.7955339,75.64256854032257,2.847034640322576,3.9110017988652683,Chambal,2,2,282.8396060551643,no trend,0.9683250952101472,-0.0034328269354211645
3615,67.30679589374999,69.94662767741934,2.639831783669351,3.9220880278368466,Chambal,2,2,263.34133208685444,no trend,0.9841594261303772,0.005128261221186988
3754,0.9296490125625001,0.9662075735483872,0.036558560985887056,3.9325122161014754,Retili,5,5,4.896193471338028,no trend,0.5382311014255547,-0.11647141915841568
3616,71.063863975,73.90623423387098,2.8423702588709716,3.9997406556318227,Chambal,2,2,276.92687148004694,no trend,1.0,0.00012073541406409493
3636,50.621863787500004,52.65271122580645,2.030847438306445,4.011799025874508,Chambal,2,2,204.19953475469484,no trend,0.827117687577857,0.028215692039910416
3605,5.6745102350000005,5.903664543548387,0.22915430854838625,4.038309899151785,Chhoti Kali Sindh,4,4,24.422707048943664,no trend,0.827117687577857,0.030376321820911184
4965,152.87273934375,159.0799565967742,6.207217253024197,4.060382040428172,Kosi,2,2,748.1433077276995,no trend,0.6337121751995711,0.06634308389264332
